font_name,family,image_path,brand_tone,industry,weight,is_free
Anton,display,fonts/font_0045.png,Bold,Sustainability,bold,True
Impact,display,fonts/font_0046.png,Innovative,Technology,black,False
Abril Fatface,display,fonts/font_0047.png,Trustworthy,Real Estate,medium,False
Playfair Display,serif,fonts/font_0048.png,Innovative,Retail,regular,True
Garamond,serif,fonts/font_0049.png,Trustworthy,Food & Beverage,bold,True
Times New Roman,serif,fonts/font_0050.png,Bold,Fashion,medium,True
Georgia,serif,fonts/font_0051.png,Trustworthy,Food & Beverage,medium,False
Baskerville,serif,fonts/font_0052.png,Creative,Finance,thin,True
Helvetica,sans-serif,fonts/font_0053.png,Luxury,Technology,bold,True
Montserrat,sans-serif,fonts/font_0054.png,Trustworthy,Fashion,black,True
DM Sans,sans-serif,fonts/font_0055.png,Professional,Fashion,medium,True
Inter,sans-serif,fonts/font_0056.png,Bold,Travel,medium,False
Open Sans,sans-serif,fonts/font_0057.png,Creative,Food & Beverage,regular,True
Roboto,sans-serif,fonts/font_0058.png,Minimalist,Technology,thin,True
Pacifico,script,fonts/font_0059.png,Innovative,Travel,medium,True
Dancing Script,script,fonts/font_0060.png,Creative,Healthcare,medium,True
Brush Script,script,fonts/font_0061.png,Playful,Food & Beverage,black,True
Great Vibes,script,fonts/font_0062.png,Creative,Sustainability,black,True
Courier New,monospace,fonts/font_0063.png,Bold,Sustainability,regular,True
Source Code Pro,monospace,fonts/font_0064.png,Creative,Travel,regular,False
Fira Mono,monospace,fonts/font_0065.png,Creative,Healthcare,regular,True
IBM Plex Mono,monospace,fonts/font_0066.png,Professional,Education,black,True
Oswald,display,fonts/font_0067.png,Trustworthy,Education,black,True
Bebas Neue,display,fonts/font_0068.png,Innovative,Sustainability,thin,True
Anton,display,fonts/font_0069.png,Luxury,Real Estate,bold,True
Impact,display,fonts/font_0070.png,Minimalist,Retail,bold,False
Abril Fatface,display,fonts/font_0071.png,Luxury,Retail,thin,True
Playfair Display,serif,fonts/font_0072.png,Creative,Real Estate,bold,True
Garamond,serif,fonts/font_0073.png,Playful,Travel,black,True
Times New Roman,serif,fonts/font_0074.png,Bold,Retail,bold,True
Georgia,serif,fonts/font_0075.png,Innovative,Retail,black,True
Baskerville,serif,fonts/font_0076.png,Bold,Food & Beverage,thin,True
Helvetica,sans-serif,fonts/font_0077.png,Professional,Food & Beverage,regular,True
Montserrat,sans-serif,fonts/font_0078.png,Bold,Real Estate,thin,True
DM Sans,sans-serif,fonts/font_0079.png,Minimalist,Technology,bold,True
Inter,sans-serif,fonts/font_0080.png,Playful,Healthcare,black,True
Open Sans,sans-serif,fonts/font_0081.png,Luxury,Travel,bold,True
Roboto,sans-serif,fonts/font_0082.png,Creative,Food & Beverage,bold,True
Pacifico,script,fonts/font_0083.png,Creative,Food & Beverage,regular,True
Dancing Script,script,fonts/font_0084.png,Playful,Education,bold,False
Brush Script,script,fonts/font_0085.png,Innovative,Healthcare,regular,True
Great Vibes,script,fonts/font_0086.png,Bold,Education,black,True
Courier New,monospace,fonts/font_0087.png,Innovative,Technology,black,True
Source Code Pro,monospace,fonts/font_0088.png,Luxury,Healthcare,regular,False
Fira Mono,monospace,fonts/font_0089.png,Innovative,Retail,thin,False
IBM Plex Mono,monospace,fonts/font_0090.png,Professional,Education,black,True
Oswald,display,fonts/font_0091.png,Playful,Sustainability,thin,True
Bebas Neue,display,fonts/font_0092.png,Luxury,Travel,black,False
Anton,display,fonts/font_0093.png,Luxury,Retail,black,True
Impact,display,fonts/font_0094.png,Trustworthy,Healthcare,medium,True
Abril Fatface,display,fonts/font_0095.png,Luxury,Sustainability,bold,False
Playfair Display,serif,fonts/font_0096.png,Trustworthy,Technology,bold,True
Garamond,serif,fonts/font_0097.png,Minimalist,Sustainability,thin,True
Times New Roman,serif,fonts/font_0098.png,Creative,Food & Beverage,bold,False
Georgia,serif,fonts/font_0099.png,Trustworthy,Real Estate,thin,True
Baskerville,serif,fonts/font_0100.png,Playful,Sustainability,black,True
Helvetica,sans-serif,fonts/font_0101.png,Innovative,Fashion,medium,True
Montserrat,sans-serif,fonts/font_0102.png,Trustworthy,Technology,medium,True
DM Sans,sans-serif,fonts/font_0103.png,Luxury,Retail,black,True
Inter,sans-serif,fonts/font_0104.png,Playful,Education,regular,True
Open Sans,sans-serif,fonts/font_0105.png,Trustworthy,Finance,regular,True
Roboto,sans-serif,fonts/font_0106.png,Trustworthy,Technology,bold,False
Pacifico,script,fonts/font_0107.png,Luxury,Fashion,thin,True
Dancing Script,script,fonts/font_0108.png,Professional,Food & Beverage,medium,False
Brush Script,script,fonts/font_0109.png,Professional,Education,bold,False
Great Vibes,script,fonts/font_0110.png,Trustworthy,Travel,black,True
Courier New,monospace,fonts/font_0111.png,Professional,Finance,medium,True
Source Code Pro,monospace,fonts/font_0112.png,Bold,Sustainability,thin,False
Fira Mono,monospace,fonts/font_0113.png,Luxury,Fashion,thin,True
IBM Plex Mono,monospace,fonts/font_0114.png,Bold,Sustainability,regular,True
Oswald,display,fonts/font_0115.png,Playful,Travel,bold,True
Bebas Neue,display,fonts/font_0116.png,Bold,Technology,black,False
Anton,display,fonts/font_0117.png,Playful,Real Estate,medium,True
Impact,display,fonts/font_0118.png,Trustworthy,Fashion,thin,True
Abril Fatface,display,fonts/font_0119.png,Playful,Healthcare,medium,True
Playfair Display,serif,fonts/font_0120.png,Playful,Retail,black,False
Garamond,serif,fonts/font_0121.png,Innovative,Healthcare,medium,True
Times New Roman,serif,fonts/font_0122.png,Bold,Real Estate,bold,True
Georgia,serif,fonts/font_0123.png,Innovative,Travel,regular,True
Baskerville,serif,fonts/font_0124.png,Trustworthy,Healthcare,medium,True
Helvetica,sans-serif,fonts/font_0125.png,Luxury,Food & Beverage,regular,True
Montserrat,sans-serif,fonts/font_0126.png,Bold,Fashion,black,True
DM Sans,sans-serif,fonts/font_0127.png,Luxury,Food & Beverage,regular,True
Inter,sans-serif,fonts/font_0128.png,Luxury,Finance,medium,False
Open Sans,sans-serif,fonts/font_0129.png,Playful,Real Estate,medium,True
Roboto,sans-serif,fonts/font_0130.png,Creative,Finance,thin,True
Pacifico,script,fonts/font_0131.png,Bold,Finance,medium,False
Dancing Script,script,fonts/font_0132.png,Luxury,Finance,regular,True
Brush Script,script,fonts/font_0133.png,Creative,Technology,thin,True
Great Vibes,script,fonts/font_0134.png,Professional,Technology,medium,False
Courier New,monospace,fonts/font_0135.png,Luxury,Real Estate,medium,True
Source Code Pro,monospace,fonts/font_0136.png,Professional,Education,black,True
Fira Mono,monospace,fonts/font_0137.png,Bold,Healthcare,thin,True
IBM Plex Mono,monospace,fonts/font_0138.png,Trustworthy,Technology,black,True
Oswald,display,fonts/font_0139.png,Innovative,Sustainability,black,True
Bebas Neue,display,fonts/font_0140.png,Bold,Food & Beverage,black,False
Anton,display,fonts/font_0141.png,Innovative,Technology,bold,True
Impact,display,fonts/font_0142.png,Innovative,Travel,black,True
Abril Fatface,display,fonts/font_0143.png,Bold,Finance,regular,True
Playfair Display,serif,fonts/font_0144.png,Luxury,Technology,medium,False
Garamond,serif,fonts/font_0145.png,Minimalist,Real Estate,bold,False
Times New Roman,serif,fonts/font_0146.png,Luxury,Food & Beverage,black,True
Georgia,serif,fonts/font_0147.png,Luxury,Food & Beverage,medium,False
Baskerville,serif,fonts/font_0148.png,Trustworthy,Education,thin,False
Helvetica,sans-serif,fonts/font_0149.png,Playful,Retail,thin,True
Montserrat,sans-serif,fonts/font_0150.png,Playful,Retail,medium,True
DM Sans,sans-serif,fonts/font_0151.png,Luxury,Healthcare,regular,True
Inter,sans-serif,fonts/font_0152.png,Professional,Sustainability,medium,False
Open Sans,sans-serif,fonts/font_0153.png,Trustworthy,Fashion,medium,False
Roboto,sans-serif,fonts/font_0154.png,Innovative,Real Estate,bold,True
Pacifico,script,fonts/font_0155.png,Creative,Travel,thin,True
Dancing Script,script,fonts/font_0156.png,Playful,Technology,thin,True
Brush Script,script,fonts/font_0157.png,Luxury,Real Estate,black,False
Great Vibes,script,fonts/font_0158.png,Trustworthy,Sustainability,medium,False
Courier New,monospace,fonts/font_0159.png,Minimalist,Retail,medium,True
Source Code Pro,monospace,fonts/font_0160.png,Professional,Real Estate,regular,True
Fira Mono,monospace,fonts/font_0161.png,Bold,Technology,thin,True
IBM Plex Mono,monospace,fonts/font_0162.png,Luxury,Education,regular,False
Oswald,display,fonts/font_0163.png,Trustworthy,Healthcare,bold,True
Bebas Neue,display,fonts/font_0164.png,Luxury,Education,black,True
Anton,display,fonts/font_0165.png,Creative,Retail,regular,False
Impact,display,fonts/font_0166.png,Innovative,Finance,thin,True
Abril Fatface,display,fonts/font_0167.png,Professional,Retail,bold,False
Playfair Display,serif,fonts/font_0168.png,Playful,Healthcare,medium,True
Garamond,serif,fonts/font_0169.png,Playful,Technology,bold,True
Times New Roman,serif,fonts/font_0170.png,Playful,Sustainability,regular,False
Georgia,serif,fonts/font_0171.png,Creative,Fashion,thin,True
Baskerville,serif,fonts/font_0172.png,Bold,Education,regular,True
Helvetica,sans-serif,fonts/font_0173.png,Trustworthy,Retail,medium,True
Montserrat,sans-serif,fonts/font_0174.png,Professional,Sustainability,medium,True
DM Sans,sans-serif,fonts/font_0175.png,Professional,Education,thin,True
Inter,sans-serif,fonts/font_0176.png,Playful,Retail,black,False
Open Sans,sans-serif,fonts/font_0177.png,Playful,Healthcare,bold,False
Roboto,sans-serif,fonts/font_0178.png,Innovative,Education,bold,False
Pacifico,script,fonts/font_0179.png,Creative,Retail,medium,True
Dancing Script,script,fonts/font_0180.png,Minimalist,Technology,regular,False
Brush Script,script,fonts/font_0181.png,Minimalist,Healthcare,regular,False
Great Vibes,script,fonts/font_0182.png,Luxury,Sustainability,black,True
Courier New,monospace,fonts/font_0183.png,Luxury,Sustainability,regular,True
Source Code Pro,monospace,fonts/font_0184.png,Professional,Fashion,bold,True
Fira Mono,monospace,fonts/font_0185.png,Professional,Real Estate,regular,False
IBM Plex Mono,monospace,fonts/font_0186.png,Bold,Finance,black,True
Oswald,display,fonts/font_0187.png,Bold,Technology,bold,False
Bebas Neue,display,fonts/font_0188.png,Minimalist,Healthcare,regular,True
Anton,display,fonts/font_0189.png,Creative,Education,bold,False
Impact,display,fonts/font_0190.png,Luxury,Sustainability,medium,True
Abril Fatface,display,fonts/font_0191.png,Minimalist,Technology,medium,True
Playfair Display,serif,fonts/font_0192.png,Creative,Healthcare,medium,True
Garamond,serif,fonts/font_0193.png,Minimalist,Healthcare,regular,True
Times New Roman,serif,fonts/font_0194.png,Luxury,Education,black,False
Georgia,serif,fonts/font_0195.png,Trustworthy,Healthcare,bold,False
Baskerville,serif,fonts/font_0196.png,Bold,Travel,thin,True
Helvetica,sans-serif,fonts/font_0197.png,Innovative,Technology,medium,True
Montserrat,sans-serif,fonts/font_0198.png,Innovative,Retail,medium,True
DM Sans,sans-serif,fonts/font_0199.png,Innovative,Sustainability,thin,True
Inter,sans-serif,fonts/font_0200.png,Luxury,Sustainability,thin,True
Open Sans,sans-serif,fonts/font_0201.png,Playful,Retail,regular,False
Roboto,sans-serif,fonts/font_0202.png,Playful,Technology,bold,False
Pacifico,script,fonts/font_0203.png,Playful,Finance,medium,True
Dancing Script,script,fonts/font_0204.png,Professional,Technology,black,True
Brush Script,script,fonts/font_0205.png,Bold,Food & Beverage,regular,True
Great Vibes,script,fonts/font_0206.png,Bold,Healthcare,regular,True
Courier New,monospace,fonts/font_0207.png,Trustworthy,Real Estate,black,True
Source Code Pro,monospace,fonts/font_0208.png,Trustworthy,Education,black,True
Fira Mono,monospace,fonts/font_0209.png,Professional,Travel,black,True
IBM Plex Mono,monospace,fonts/font_0210.png,Minimalist,Real Estate,thin,True
Oswald,display,fonts/font_0211.png,Creative,Retail,medium,True
Bebas Neue,display,fonts/font_0212.png,Trustworthy,Education,thin,True
Anton,display,fonts/font_0213.png,Innovative,Education,medium,True
Impact,display,fonts/font_0214.png,Playful,Education,thin,False
Abril Fatface,display,fonts/font_0215.png,Innovative,Sustainability,bold,False
Playfair Display,serif,fonts/font_0216.png,Playful,Travel,medium,False
Garamond,serif,fonts/font_0217.png,Innovative,Sustainability,regular,True
Times New Roman,serif,fonts/font_0218.png,Minimalist,Healthcare,medium,True
Georgia,serif,fonts/font_0219.png,Creative,Food & Beverage,medium,True
Baskerville,serif,fonts/font_0220.png,Innovative,Fashion,medium,True
Helvetica,sans-serif,fonts/font_0221.png,Innovative,Travel,bold,False
Montserrat,sans-serif,fonts/font_0222.png,Luxury,Real Estate,thin,True
DM Sans,sans-serif,fonts/font_0223.png,Creative,Healthcare,regular,True
Inter,sans-serif,fonts/font_0224.png,Innovative,Technology,thin,True
Open Sans,sans-serif,fonts/font_0225.png,Luxury,Retail,thin,True
Roboto,sans-serif,fonts/font_0226.png,Bold,Food & Beverage,black,False
Pacifico,script,fonts/font_0227.png,Creative,Healthcare,bold,True
Dancing Script,script,fonts/font_0228.png,Professional,Technology,black,True
Brush Script,script,fonts/font_0229.png,Creative,Food & Beverage,bold,True
Great Vibes,script,fonts/font_0230.png,Creative,Technology,thin,False
Courier New,monospace,fonts/font_0231.png,Innovative,Travel,thin,True
Source Code Pro,monospace,fonts/font_0232.png,Bold,Technology,bold,True
Fira Mono,monospace,fonts/font_0233.png,Creative,Food & Beverage,thin,True
IBM Plex Mono,monospace,fonts/font_0234.png,Trustworthy,Technology,thin,False
Oswald,display,fonts/font_0235.png,Trustworthy,Real Estate,regular,True
Bebas Neue,display,fonts/font_0236.png,Luxury,Healthcare,black,True
Anton,display,fonts/font_0237.png,Innovative,Food & Beverage,black,False
Impact,display,fonts/font_0238.png,Innovative,Real Estate,black,False
Abril Fatface,display,fonts/font_0239.png,Creative,Technology,medium,True
Playfair Display,serif,fonts/font_0240.png,Minimalist,Technology,regular,False
Garamond,serif,fonts/font_0241.png,Bold,Education,black,True
Times New Roman,serif,fonts/font_0242.png,Playful,Food & Beverage,black,False
Georgia,serif,fonts/font_0243.png,Playful,Travel,regular,True
Baskerville,serif,fonts/font_0244.png,Minimalist,Technology,thin,True
Helvetica,sans-serif,fonts/font_0245.png,Luxury,Retail,black,False
Montserrat,sans-serif,fonts/font_0246.png,Playful,Sustainability,thin,False
DM Sans,sans-serif,fonts/font_0247.png,Creative,Fashion,black,True
Inter,sans-serif,fonts/font_0248.png,Playful,Sustainability,bold,False
Open Sans,sans-serif,fonts/font_0249.png,Trustworthy,Travel,medium,True
Roboto,sans-serif,fonts/font_0250.png,Trustworthy,Healthcare,black,False
Pacifico,script,fonts/font_0251.png,Professional,Finance,bold,True
Dancing Script,script,fonts/font_0252.png,Bold,Retail,regular,True
Brush Script,script,fonts/font_0253.png,Luxury,Finance,bold,True
Great Vibes,script,fonts/font_0254.png,Innovative,Technology,regular,True
Courier New,monospace,fonts/font_0255.png,Bold,Healthcare,black,True
Source Code Pro,monospace,fonts/font_0256.png,Luxury,Real Estate,regular,True
Fira Mono,monospace,fonts/font_0257.png,Playful,Technology,bold,True
IBM Plex Mono,monospace,fonts/font_0258.png,Professional,Finance,medium,False
Oswald,display,fonts/font_0259.png,Bold,Technology,thin,True
Bebas Neue,display,fonts/font_0260.png,Playful,Fashion,thin,True
Anton,display,fonts/font_0261.png,Luxury,Education,medium,True
Impact,display,fonts/font_0262.png,Bold,Fashion,thin,True
Abril Fatface,display,fonts/font_0263.png,Innovative,Healthcare,black,True
Playfair Display,serif,fonts/font_0264.png,Bold,Real Estate,black,True
Garamond,serif,fonts/font_0265.png,Playful,Fashion,bold,True
Times New Roman,serif,fonts/font_0266.png,Creative,Food & Beverage,bold,True
Georgia,serif,fonts/font_0267.png,Creative,Real Estate,regular,True
Baskerville,serif,fonts/font_0268.png,Bold,Finance,bold,True
Helvetica,sans-serif,fonts/font_0269.png,Innovative,Fashion,black,False
Montserrat,sans-serif,fonts/font_0270.png,Professional,Education,bold,True
DM Sans,sans-serif,fonts/font_0271.png,Professional,Real Estate,thin,False
Inter,sans-serif,fonts/font_0272.png,Creative,Technology,regular,True
Open Sans,sans-serif,fonts/font_0273.png,Playful,Education,regular,False
Roboto,sans-serif,fonts/font_0274.png,Luxury,Technology,black,True
Pacifico,script,fonts/font_0275.png,Playful,Fashion,bold,True
Dancing Script,script,fonts/font_0276.png,Professional,Retail,thin,False
Brush Script,script,fonts/font_0277.png,Minimalist,Retail,bold,True
Great Vibes,script,fonts/font_0278.png,Minimalist,Finance,medium,True
Courier New,monospace,fonts/font_0279.png,Bold,Education,bold,True
Source Code Pro,monospace,fonts/font_0280.png,Innovative,Technology,black,False
Fira Mono,monospace,fonts/font_0281.png,Creative,Travel,bold,True
IBM Plex Mono,monospace,fonts/font_0282.png,Trustworthy,Education,regular,True
Oswald,display,fonts/font_0283.png,Trustworthy,Food & Beverage,thin,False
Bebas Neue,display,fonts/font_0284.png,Trustworthy,Finance,black,True
Anton,display,fonts/font_0285.png,Bold,Sustainability,medium,False
Impact,display,fonts/font_0286.png,Minimalist,Sustainability,thin,True
Abril Fatface,display,fonts/font_0287.png,Professional,Technology,thin,False
Playfair Display,serif,fonts/font_0288.png,Bold,Retail,regular,True
Garamond,serif,fonts/font_0289.png,Trustworthy,Real Estate,regular,True
Times New Roman,serif,fonts/font_0290.png,Trustworthy,Food & Beverage,regular,True
Georgia,serif,fonts/font_0291.png,Creative,Sustainability,black,True
Baskerville,serif,fonts/font_0292.png,Playful,Technology,bold,True
Helvetica,sans-serif,fonts/font_0293.png,Trustworthy,Technology,thin,True
Montserrat,sans-serif,fonts/font_0294.png,Innovative,Fashion,bold,True
DM Sans,sans-serif,fonts/font_0295.png,Trustworthy,Retail,bold,True
Inter,sans-serif,fonts/font_0296.png,Playful,Education,regular,True
Open Sans,sans-serif,fonts/font_0297.png,Trustworthy,Real Estate,bold,True
Roboto,sans-serif,fonts/font_0298.png,Innovative,Fashion,thin,True
Pacifico,script,fonts/font_0299.png,Professional,Sustainability,thin,True
Dancing Script,script,fonts/font_0300.png,Bold,Real Estate,medium,True
Brush Script,script,fonts/font_0301.png,Innovative,Finance,black,True
Great Vibes,script,fonts/font_0302.png,Playful,Retail,bold,False
Courier New,monospace,fonts/font_0303.png,Bold,Sustainability,black,True
Source Code Pro,monospace,fonts/font_0304.png,Bold,Technology,black,True
Fira Mono,monospace,fonts/font_0305.png,Playful,Sustainability,black,True
IBM Plex Mono,monospace,fonts/font_0306.png,Creative,Travel,black,False
Oswald,display,fonts/font_0307.png,Minimalist,Healthcare,thin,True
Bebas Neue,display,fonts/font_0308.png,Trustworthy,Healthcare,bold,False
Anton,display,fonts/font_0309.png,Innovative,Sustainability,medium,True
Impact,display,fonts/font_0310.png,Playful,Travel,black,False
Abril Fatface,display,fonts/font_0311.png,Professional,Sustainability,medium,True
Playfair Display,serif,fonts/font_0312.png,Luxury,Healthcare,thin,True
Garamond,serif,fonts/font_0313.png,Playful,Fashion,thin,True
Times New Roman,serif,fonts/font_0314.png,Trustworthy,Finance,regular,False
Georgia,serif,fonts/font_0315.png,Trustworthy,Healthcare,black,False
Baskerville,serif,fonts/font_0316.png,Bold,Finance,regular,True
Helvetica,sans-serif,fonts/font_0317.png,Bold,Technology,medium,True
Montserrat,sans-serif,fonts/font_0318.png,Playful,Finance,bold,True
DM Sans,sans-serif,fonts/font_0319.png,Luxury,Fashion,regular,True
Inter,sans-serif,fonts/font_0320.png,Creative,Travel,thin,True
Open Sans,sans-serif,fonts/font_0321.png,Playful,Finance,black,True
Roboto,sans-serif,fonts/font_0322.png,Luxury,Real Estate,medium,False
Pacifico,script,fonts/font_0323.png,Creative,Education,thin,True
Dancing Script,script,fonts/font_0324.png,Luxury,Healthcare,bold,True
Brush Script,script,fonts/font_0325.png,Trustworthy,Travel,black,True
Great Vibes,script,fonts/font_0326.png,Trustworthy,Food & Beverage,bold,False
Courier New,monospace,fonts/font_0327.png,Trustworthy,Technology,bold,False
Source Code Pro,monospace,fonts/font_0328.png,Professional,Education,black,True
Fira Mono,monospace,fonts/font_0329.png,Trustworthy,Real Estate,black,False
IBM Plex Mono,monospace,fonts/font_0330.png,Innovative,Retail,bold,False
Oswald,display,fonts/font_0331.png,Bold,Fashion,medium,True
Bebas Neue,display,fonts/font_0332.png,Bold,Sustainability,black,True
Anton,display,fonts/font_0333.png,Luxury,Education,thin,False
Impact,display,fonts/font_0334.png,Bold,Travel,regular,True
Abril Fatface,display,fonts/font_0335.png,Minimalist,Travel,medium,True
Playfair Display,serif,fonts/font_0336.png,Creative,Travel,black,True
Garamond,serif,fonts/font_0337.png,Luxury,Technology,black,True
Times New Roman,serif,fonts/font_0338.png,Bold,Finance,medium,False
Georgia,serif,fonts/font_0339.png,Minimalist,Healthcare,regular,True
Baskerville,serif,fonts/font_0340.png,Creative,Retail,bold,True
Helvetica,sans-serif,fonts/font_0341.png,Professional,Sustainability,thin,False
Montserrat,sans-serif,fonts/font_0342.png,Bold,Travel,black,True
DM Sans,sans-serif,fonts/font_0343.png,Minimalist,Sustainability,regular,True
Inter,sans-serif,fonts/font_0344.png,Playful,Food & Beverage,thin,False
Open Sans,sans-serif,fonts/font_0345.png,Innovative,Technology,medium,True
Roboto,sans-serif,fonts/font_0346.png,Playful,Travel,black,True
Pacifico,script,fonts/font_0347.png,Minimalist,Food & Beverage,bold,True
Dancing Script,script,fonts/font_0348.png,Luxury,Retail,medium,True
Brush Script,script,fonts/font_0349.png,Trustworthy,Retail,black,False
Great Vibes,script,fonts/font_0350.png,Trustworthy,Healthcare,regular,True
Courier New,monospace,fonts/font_0351.png,Trustworthy,Real Estate,thin,True
Source Code Pro,monospace,fonts/font_0352.png,Creative,Healthcare,thin,True
Fira Mono,monospace,fonts/font_0353.png,Luxury,Finance,black,True
IBM Plex Mono,monospace,fonts/font_0354.png,Creative,Sustainability,medium,False
Oswald,display,fonts/font_0355.png,Bold,Fashion,bold,False
Bebas Neue,display,fonts/font_0356.png,Trustworthy,Retail,regular,False
Anton,display,fonts/font_0357.png,Playful,Fashion,black,True
Impact,display,fonts/font_0358.png,Luxury,Technology,regular,False
Abril Fatface,display,fonts/font_0359.png,Luxury,Education,thin,True
Playfair Display,serif,fonts/font_0360.png,Trustworthy,Travel,bold,False
Garamond,serif,fonts/font_0361.png,Playful,Technology,regular,False
Times New Roman,serif,fonts/font_0362.png,Professional,Retail,black,True
Georgia,serif,fonts/font_0363.png,Luxury,Food & Beverage,bold,True
Baskerville,serif,fonts/font_0364.png,Trustworthy,Sustainability,medium,True
Helvetica,sans-serif,fonts/font_0365.png,Innovative,Fashion,black,True
Montserrat,sans-serif,fonts/font_0366.png,Minimalist,Healthcare,regular,False
DM Sans,sans-serif,fonts/font_0367.png,Creative,Education,bold,True
Inter,sans-serif,fonts/font_0368.png,Bold,Real Estate,black,True
Open Sans,sans-serif,fonts/font_0369.png,Luxury,Technology,bold,True
Roboto,sans-serif,fonts/font_0370.png,Innovative,Real Estate,bold,False
Pacifico,script,fonts/font_0371.png,Innovative,Fashion,bold,True
Dancing Script,script,fonts/font_0372.png,Luxury,Fashion,regular,True
Brush Script,script,fonts/font_0373.png,Professional,Travel,black,True
Great Vibes,script,fonts/font_0374.png,Minimalist,Food & Beverage,thin,True
Courier New,monospace,fonts/font_0375.png,Bold,Food & Beverage,thin,True
Source Code Pro,monospace,fonts/font_0376.png,Luxury,Finance,regular,False
Fira Mono,monospace,fonts/font_0377.png,Creative,Healthcare,regular,True
IBM Plex Mono,monospace,fonts/font_0378.png,Bold,Retail,bold,True
Oswald,display,fonts/font_0379.png,Playful,Retail,black,True
Bebas Neue,display,fonts/font_0380.png,Innovative,Fashion,black,True
Anton,display,fonts/font_0381.png,Innovative,Technology,medium,True
Impact,display,fonts/font_0382.png,Luxury,Sustainability,medium,True
Abril Fatface,display,fonts/font_0383.png,Luxury,Retail,thin,True
Playfair Display,serif,fonts/font_0384.png,Creative,Retail,medium,True
Garamond,serif,fonts/font_0385.png,Playful,Technology,medium,True
Times New Roman,serif,fonts/font_0386.png,Professional,Healthcare,thin,False
Georgia,serif,fonts/font_0387.png,Luxury,Education,thin,True
Baskerville,serif,fonts/font_0388.png,Innovative,Food & Beverage,medium,False
Helvetica,sans-serif,fonts/font_0389.png,Bold,Travel,black,False
Montserrat,sans-serif,fonts/font_0390.png,Minimalist,Travel,medium,True
DM Sans,sans-serif,fonts/font_0391.png,Trustworthy,Travel,bold,False
Inter,sans-serif,fonts/font_0392.png,Bold,Technology,bold,True
Open Sans,sans-serif,fonts/font_0393.png,Professional,Travel,bold,True
Roboto,sans-serif,fonts/font_0394.png,Minimalist,Fashion,regular,True
