company,industry,region,audience,tone,revenue_stage,team_size,founded_year,has_brand_kit
Startup_0038,Sustainability,North America,D2C,Luxury,Public,481,2016,False
Startup_0039,Travel,Global,B2B,Bold,Public,126,2018,False
Startup_0040,Travel,Middle East,D2C,Innovative,Public,308,2024,True
Startup_0041,Technology,Global,D2C,Luxury,Public,288,2021,True
Startup_0042,Fashion,Europe,Enterprise,Bold,Series C,86,2014,True
Startup_0043,Healthcare,India,B2C,Minimalist,Pre-seed,210,2016,False
Startup_0044,Real Estate,Europe,D2C,Minimalist,Series B,235,2014,True
Startup_0045,Technology,Middle East,D2C,Bold,Series B,466,2013,False
Startup_0046,Real Estate,Global,Enterprise,Professional,Series A,44,2022,False
Startup_0047,Technology,Europe,B2C,Creative,Series C,476,2010,True
Startup_0048,Healthcare,India,Enterprise,Innovative,Series C,285,2020,False
Startup_0049,Real Estate,North America,D2C,Minimalist,Seed,252,2014,True
Startup_0050,Technology,Global,B2B,Creative,Seed,168,2021,False
Startup_0051,Travel,Global,D2C,Creative,Series B,194,2013,True
Startup_0052,Education,Asia,B2B,Innovative,Series C,401,2020,False
Startup_0053,Finance,Global,SMB,Trustworthy,Public,68,2010,False
Startup_0054,Retail,India,B2C,Playful,Series A,208,2019,True
Startup_0055,Fashion,India,SMB,Innovative,Series C,325,2010,False
Startup_0056,Retail,Asia,Enterprise,Luxury,Series A,37,2023,False
Startup_0057,Sustainability,Asia,D2C,Creative,Seed,384,2014,False
Startup_0058,Education,Global,SMB,Playful,Public,287,2021,False
Startup_0059,Finance,Asia,B2C,Creative,Pre-seed,350,2021,False
Startup_0060,Education,Asia,B2B,Bold,Public,280,2018,True
Startup_0061,Real Estate,Asia,B2B,Bold,Series C,448,2010,True
Startup_0062,Travel,India,Enterprise,Trustworthy,Public,454,2017,False
Startup_0063,Fashion,Europe,Enterprise,Creative,Public,176,2022,False
Startup_0064,Sustainability,North America,D2C,Professional,Seed,12,2018,False
Startup_0065,Food & Beverage,India,SMB,Trustworthy,Pre-seed,377,2024,False
Startup_0066,Travel,Middle East,D2C,Minimalist,Pre-seed,20,2020,True
Startup_0067,Real Estate,Global,B2B,Creative,Seed,191,2020,False
Startup_0068,Healthcare,India,B2B,Innovative,Seed,73,2019,False
Startup_0069,Technology,Global,SMB,Minimalist,Seed,300,2013,True
Startup_0070,Education,India,D2C,Innovative,Series A,76,2022,True
Startup_0071,Travel,Europe,Enterprise,Playful,Series B,382,2017,False
Startup_0072,Fashion,Global,SMB,Trustworthy,Series B,138,2022,False
Startup_0073,Food & Beverage,Asia,Enterprise,Minimalist,Series B,239,2010,False
Startup_0074,Fashion,Global,SMB,Bold,Public,282,2013,True
Startup_0075,Fashion,Middle East,Enterprise,Professional,Series A,474,2019,False
Startup_0076,Healthcare,Europe,B2C,Creative,Seed,463,2011,False
Startup_0077,Food & Beverage,North America,B2B,Luxury,Series B,288,2019,False
Startup_0078,Real Estate,Middle East,SMB,Playful,Series A,142,2023,False
Startup_0079,Finance,Middle East,B2C,Innovative,Series A,322,2024,False
Startup_0080,Real Estate,Europe,SMB,Playful,Seed,159,2013,False
Startup_0081,Sustainability,Middle East,B2B,Luxury,Pre-seed,202,2023,True
Startup_0082,Food & Beverage,India,B2B,Creative,Series A,489,2011,True
Startup_0083,Finance,India,Enterprise,Bold,Series C,30,2023,False
Startup_0084,Finance,Asia,B2B,Playful,Series A,96,2023,False
Startup_0085,Food & Beverage,Europe,B2B,Minimalist,Pre-seed,275,2012,False
Startup_0086,Healthcare,India,B2B,Minimalist,Pre-seed,132,2010,False
Startup_0087,Food & Beverage,Middle East,D2C,Minimalist,Public,248,2019,False
Startup_0088,Travel,Middle East,D2C,Professional,Series C,36,2012,True
Startup_0089,Sustainability,India,B2B,Luxury,Series B,451,2016,False
Startup_0090,Technology,Europe,D2C,Bold,Series A,133,2020,False
Startup_0091,Healthcare,Europe,SMB,Minimalist,Seed,298,2022,False
Startup_0092,Finance,North America,B2C,Minimalist,Public,336,2017,False
Startup_0093,Healthcare,Europe,B2C,Professional,Seed,115,2015,True
Startup_0094,Finance,Global,D2C,Minimalist,Series C,466,2010,False
Startup_0095,Healthcare,Global,B2C,Innovative,Pre-seed,91,2016,True
Startup_0096,Retail,Global,D2C,Creative,Series B,224,2022,True
Startup_0097,Real Estate,India,Enterprise,Professional,Series A,287,2024,True
Startup_0098,Finance,North America,B2B,Creative,Series A,88,2021,False
Startup_0099,Finance,Middle East,B2C,Innovative,Series A,223,2012,True
Startup_0100,Finance,India,B2B,Creative,Seed,268,2023,True
Startup_0101,Food & Beverage,Asia,B2C,Creative,Series B,34,2024,False
Startup_0102,Fashion,Asia,SMB,Luxury,Series C,295,2022,False
Startup_0103,Retail,Europe,SMB,Creative,Seed,239,2018,False
Startup_0104,Sustainability,North America,D2C,Creative,Pre-seed,6,2020,True
Startup_0105,Healthcare,North America,B2B,Playful,Series B,188,2011,False
Startup_0106,Travel,Middle East,D2C,Minimalist,Public,249,2018,True
Startup_0107,Technology,Europe,Enterprise,Minimalist,Pre-seed,100,2019,False
Startup_0108,Sustainability,North America,D2C,Trustworthy,Series A,52,2021,False
Startup_0109,Finance,India,D2C,Luxury,Public,66,2011,True
Startup_0110,Real Estate,Middle East,D2C,Playful,Seed,197,2011,False
Startup_0111,Healthcare,North America,B2C,Professional,Series B,59,2021,False
Startup_0112,Travel,Asia,B2C,Playful,Public,177,2013,True
Startup_0113,Technology,Asia,Enterprise,Minimalist,Seed,187,2011,False
Startup_0114,Travel,North America,B2B,Luxury,Series B,487,2016,True
Startup_0115,Food & Beverage,Global,SMB,Innovative,Series A,166,2012,True
Startup_0116,Technology,Global,B2B,Bold,Series B,136,2020,False
Startup_0117,Travel,Asia,SMB,Creative,Series A,61,2023,False
Startup_0118,Travel,India,B2C,Luxury,Seed,316,2022,False
Startup_0119,Sustainability,Middle East,D2C,Professional,Seed,395,2022,False
Startup_0120,Education,India,Enterprise,Creative,Public,290,2013,True
Startup_0121,Real Estate,Asia,Enterprise,Creative,Seed,180,2024,False
Startup_0122,Healthcare,North America,Enterprise,Professional,Series A,124,2010,False
Startup_0123,Fashion,North America,B2B,Creative,Pre-seed,335,2024,True
Startup_0124,Healthcare,Middle East,B2C,Minimalist,Pre-seed,421,2019,True
Startup_0125,Sustainability,Asia,B2C,Trustworthy,Series B,368,2013,True
Startup_0126,Real Estate,Asia,D2C,Luxury,Seed,295,2013,True
Startup_0127,Retail,Asia,B2B,Bold,Public,245,2013,True
Startup_0128,Education,Europe,D2C,Luxury,Pre-seed,312,2020,False
Startup_0129,Real Estate,North America,SMB,Professional,Series C,415,2018,True
Startup_0130,Finance,Asia,B2C,Trustworthy,Seed,283,2012,False
Startup_0131,Retail,Middle East,Enterprise,Luxury,Public,352,2024,False
Startup_0132,Real Estate,Global,D2C,Minimalist,Series C,299,2022,False
Startup_0133,Healthcare,Europe,SMB,Professional,Public,432,2016,False
Startup_0134,Retail,Asia,Enterprise,Luxury,Pre-seed,404,2013,False
Startup_0135,Sustainability,North America,Enterprise,Creative,Series A,361,2020,False
Startup_0136,Fashion,Global,D2C,Luxury,Series C,78,2021,False
Startup_0137,Healthcare,Europe,D2C,Minimalist,Public,88,2010,False
Startup_0138,Travel,India,D2C,Minimalist,Series C,468,2024,True
Startup_0139,Education,Middle East,B2C,Creative,Seed,81,2019,False
Startup_0140,Finance,North America,B2B,Creative,Series B,410,2012,False
Startup_0141,Fashion,India,D2C,Luxury,Series A,382,2018,True
Startup_0142,Sustainability,North America,B2C,Trustworthy,Seed,475,2019,False
Startup_0143,Fashion,Middle East,B2B,Bold,Public,382,2021,False
Startup_0144,Technology,Asia,SMB,Professional,Seed,86,2015,False
Startup_0145,Travel,India,B2B,Luxury,Pre-seed,275,2017,True
Startup_0146,Finance,India,B2C,Minimalist,Series B,266,2018,False
Startup_0147,Retail,Europe,B2C,Professional,Public,473,2017,False
Startup_0148,Food & Beverage,Asia,B2B,Minimalist,Series B,112,2014,False
Startup_0149,Travel,Middle East,B2B,Creative,Series A,361,2024,False
Startup_0150,Technology,Global,B2C,Professional,Series A,274,2015,False
Startup_0151,Travel,Europe,B2C,Luxury,Series B,351,2019,False
Startup_0152,Fashion,India,SMB,Innovative,Series C,389,2011,False
Startup_0153,Real Estate,North America,B2C,Creative,Public,312,2021,True
Startup_0154,Finance,Middle East,B2C,Innovative,Series C,311,2022,False
Startup_0155,Real Estate,Europe,Enterprise,Trustworthy,Seed,413,2020,True
Startup_0156,Finance,Global,Enterprise,Playful,Public,106,2018,False
Startup_0157,Travel,Asia,Enterprise,Innovative,Series B,425,2015,False
Startup_0158,Retail,Global,D2C,Playful,Seed,266,2017,False
Startup_0159,Finance,North America,D2C,Professional,Series C,165,2016,False
Startup_0160,Education,Europe,B2C,Trustworthy,Series A,137,2024,False
Startup_0161,Travel,Middle East,Enterprise,Trustworthy,Public,191,2021,False
Startup_0162,Retail,North America,SMB,Trustworthy,Series B,253,2022,False
Startup_0163,Education,Europe,SMB,Minimalist,Pre-seed,215,2019,False
Startup_0164,Fashion,Europe,SMB,Minimalist,Seed,474,2011,False
Startup_0165,Healthcare,Global,B2C,Minimalist,Public,123,2023,False
Startup_0166,Food & Beverage,Middle East,Enterprise,Luxury,Series B,306,2024,True
Startup_0167,Technology,Asia,B2C,Professional,Pre-seed,327,2011,True
Startup_0168,Healthcare,North America,B2C,Luxury,Seed,219,2022,False
Startup_0169,Fashion,Global,SMB,Playful,Series C,171,2024,False
Startup_0170,Sustainability,Europe,Enterprise,Playful,Seed,259,2014,True
Startup_0171,Sustainability,Global,D2C,Minimalist,Series A,160,2012,False
Startup_0172,Food & Beverage,Global,B2B,Minimalist,Public,77,2010,False
Startup_0173,Sustainability,Global,B2C,Professional,Seed,276,2019,False
Startup_0174,Retail,Middle East,Enterprise,Playful,Seed,122,2020,False
Startup_0175,Fashion,Europe,B2B,Professional,Public,358,2022,True
Startup_0176,Healthcare,Middle East,B2B,Playful,Public,241,2012,True
Startup_0177,Finance,Middle East,D2C,Bold,Series B,358,2016,True
Startup_0178,Sustainability,Europe,D2C,Professional,Series B,66,2019,False
Startup_0179,Fashion,Global,B2C,Bold,Series C,459,2024,False
Startup_0180,Retail,Global,B2C,Luxury,Series A,445,2018,True
Startup_0181,Travel,Middle East,Enterprise,Trustworthy,Series A,319,2020,True
Startup_0182,Healthcare,North America,D2C,Creative,Series C,189,2022,False
Startup_0183,Travel,Global,D2C,Creative,Pre-seed,99,2013,False
Startup_0184,Sustainability,Middle East,Enterprise,Playful,Seed,273,2017,False
Startup_0185,Food & Beverage,Asia,D2C,Bold,Series B,106,2015,True
Startup_0186,Education,Asia,SMB,Luxury,Public,136,2013,False
Startup_0187,Finance,Middle East,B2B,Creative,Public,334,2012,False
Startup_0188,Food & Beverage,North America,SMB,Creative,Series C,197,2014,True
Startup_0189,Retail,Global,B2B,Professional,Public,232,2012,False
Startup_0190,Education,India,Enterprise,Bold,Series C,480,2017,True
Startup_0191,Food & Beverage,India,Enterprise,Bold,Series B,203,2020,False
Startup_0192,Real Estate,North America,B2B,Luxury,Series B,397,2021,False
Startup_0193,Retail,Asia,B2B,Trustworthy,Public,483,2015,False
Startup_0194,Fashion,Middle East,B2B,Creative,Pre-seed,93,2024,False
Startup_0195,Education,Europe,B2B,Bold,Series A,390,2020,False
Startup_0196,Real Estate,Middle East,B2C,Luxury,Series B,349,2015,False
Startup_0197,Food & Beverage,Middle East,D2C,Innovative,Series C,48,2016,False
Startup_0198,Education,India,D2C,Creative,Seed,12,2021,True
Startup_0199,Real Estate,Middle East,Enterprise,Playful,Pre-seed,163,2023,True
Startup_0200,Retail,India,B2C,Playful,Seed,464,2016,False
Startup_0201,Real Estate,Europe,B2B,Playful,Public,52,2017,False
Startup_0202,Healthcare,Middle East,B2C,Bold,Seed,6,2014,True
Startup_0203,Fashion,North America,B2B,Creative,Public,305,2022,False
Startup_0204,Sustainability,Middle East,D2C,Bold,Public,470,2014,False
Startup_0205,Retail,Global,B2B,Minimalist,Series A,288,2015,False
Startup_0206,Retail,Global,D2C,Creative,Seed,425,2013,False
Startup_0207,Technology,North America,B2B,Minimalist,Series C,392,2011,True
Startup_0208,Fashion,India,Enterprise,Luxury,Series C,356,2023,True
Startup_0209,Education,Middle East,D2C,Creative,Series B,86,2011,False
Startup_0210,Travel,India,Enterprise,Bold,Series A,297,2011,False
Startup_0211,Healthcare,North America,B2C,Luxury,Series B,454,2011,True
Startup_0212,Education,India,B2B,Creative,Seed,399,2024,False
Startup_0213,Retail,Asia,B2C,Professional,Series C,483,2014,False
Startup_0214,Real Estate,Global,B2B,Trustworthy,Series B,267,2011,False
Startup_0215,Sustainability,North America,D2C,Bold,Series C,339,2016,False
Startup_0216,Education,India,B2B,Innovative,Public,466,2020,True
Startup_0217,Finance,Middle East,SMB,Professional,Series B,231,2013,False
Startup_0218,Food & Beverage,India,SMB,Bold,Pre-seed,306,2019,False
Startup_0219,Retail,Europe,SMB,Playful,Series A,481,2014,True
Startup_0220,Food & Beverage,North America,Enterprise,Luxury,Series B,146,2011,False
Startup_0221,Technology,India,SMB,Creative,Seed,377,2021,True
Startup_0222,Technology,Global,B2B,Innovative,Series C,215,2010,False
Startup_0223,Retail,Asia,B2C,Minimalist,Series C,474,2018,False
Startup_0224,Real Estate,Global,Enterprise,Playful,Series A,436,2015,True
Startup_0225,Real Estate,Europe,D2C,Innovative,Public,209,2022,False
Startup_0226,Technology,North America,Enterprise,Minimalist,Series A,447,2014,False
Startup_0227,Education,Europe,B2C,Creative,Pre-seed,415,2014,False
Startup_0228,Food & Beverage,Middle East,SMB,Bold,Public,312,2011,False
Startup_0229,Education,Asia,B2C,Professional,Public,291,2017,False
Startup_0230,Real Estate,Middle East,Enterprise,Professional,Series B,454,2013,False
Startup_0231,Food & Beverage,Global,Enterprise,Creative,Pre-seed,237,2013,False
Startup_0232,Education,Global,Enterprise,Creative,Series B,34,2017,False
Startup_0233,Education,India,B2C,Innovative,Public,134,2013,True
Startup_0234,Travel,Europe,B2B,Trustworthy,Series B,105,2010,True
Startup_0235,Healthcare,Middle East,B2B,Creative,Series A,43,2013,True
Startup_0236,Travel,India,SMB,Playful,Series A,132,2022,False
Startup_0237,Finance,Asia,D2C,Minimalist,Series B,192,2024,False
Startup_0238,Sustainability,Global,B2C,Innovative,Public,423,2019,True
Startup_0239,Real Estate,Middle East,B2B,Luxury,Public,270,2010,False
Startup_0240,Food & Beverage,Europe,SMB,Luxury,Public,245,2015,False
Startup_0241,Fashion,Middle East,D2C,Creative,Public,393,2011,True
Startup_0242,Travel,Asia,SMB,Trustworthy,Series A,62,2020,True
Startup_0243,Food & Beverage,India,SMB,Luxury,Public,159,2024,True
Startup_0244,Finance,Middle East,D2C,Minimalist,Public,307,2022,True
Startup_0245,Sustainability,Middle East,Enterprise,Professional,Series B,70,2018,False
Startup_0246,Retail,Global,B2B,Professional,Series A,295,2022,False
Startup_0247,Healthcare,North America,B2B,Playful,Seed,444,2019,True
Startup_0248,Healthcare,India,D2C,Trustworthy,Series B,96,2013,True
Startup_0249,Education,Global,B2B,Minimalist,Public,249,2024,False
Startup_0250,Sustainability,North America,B2C,Bold,Series C,259,2020,False
Startup_0251,Technology,North America,B2C,Trustworthy,Seed,58,2022,True
Startup_0252,Travel,Global,B2C,Bold,Pre-seed,264,2017,False
Startup_0253,Retail,Asia,D2C,Luxury,Public,209,2020,False
Startup_0254,Real Estate,Asia,SMB,Innovative,Series A,395,2011,False
Startup_0255,Real Estate,Europe,SMB,Innovative,Pre-seed,30,2014,False
Startup_0256,Real Estate,Global,Enterprise,Creative,Series C,223,2021,True
Startup_0257,Education,India,Enterprise,Innovative,Series A,469,2020,False
Startup_0258,Retail,India,B2C,Professional,Pre-seed,491,2017,True
Startup_0259,Retail,Asia,B2C,Professional,Seed,163,2010,False
Startup_0260,Education,Asia,D2C,Trustworthy,Pre-seed,457,2015,True
Startup_0261,Food & Beverage,North America,B2C,Minimalist,Series A,483,2011,False
Startup_0262,Sustainability,Asia,B2C,Creative,Seed,99,2014,True
Startup_0263,Real Estate,Middle East,B2C,Minimalist,Series C,174,2010,False
Startup_0264,Education,India,B2B,Playful,Public,128,2021,False
Startup_0265,Travel,Europe,SMB,Minimalist,Pre-seed,101,2013,False
Startup_0266,Travel,North America,B2B,Playful,Series B,72,2012,False
Startup_0267,Technology,Middle East,B2C,Luxury,Series A,187,2019,False
Startup_0268,Education,Asia,B2C,Luxury,Series B,335,2023,False
Startup_0269,Finance,Europe,B2B,Professional,Series B,85,2014,True
Startup_0270,Retail,Asia,B2B,Trustworthy,Pre-seed,230,2024,False
Startup_0271,Real Estate,Global,D2C,Trustworthy,Series B,290,2017,False
Startup_0272,Sustainability,Middle East,D2C,Trustworthy,Public,352,2018,False
Startup_0273,Food & Beverage,Global,B2C,Professional,Seed,251,2014,False
Startup_0274,Real Estate,Global,B2B,Creative,Public,98,2018,False
Startup_0275,Healthcare,Europe,D2C,Professional,Series C,347,2019,True
Startup_0276,Education,Global,Enterprise,Bold,Series C,219,2013,True
Startup_0277,Food & Beverage,Asia,B2B,Playful,Series B,383,2021,True
Startup_0278,Food & Beverage,Middle East,SMB,Innovative,Series A,436,2014,True
Startup_0279,Food & Beverage,Middle East,Enterprise,Innovative,Series B,193,2022,True
Startup_0280,Travel,Europe,Enterprise,Luxury,Series A,167,2020,False
Startup_0281,Food & Beverage,Global,B2B,Playful,Public,465,2018,False
Startup_0282,Finance,Global,B2C,Creative,Series C,13,2020,True
Startup_0283,Travel,Middle East,SMB,Bold,Seed,192,2018,False
Startup_0284,Retail,Asia,D2C,Bold,Series A,450,2011,True
Startup_0285,Real Estate,Europe,D2C,Luxury,Series C,189,2014,False
Startup_0286,Food & Beverage,Global,B2C,Luxury,Pre-seed,493,2023,False
Startup_0287,Travel,Global,SMB,Professional,Series B,277,2017,False
Startup_0288,Sustainability,North America,SMB,Creative,Public,243,2010,False
Startup_0289,Healthcare,Middle East,Enterprise,Bold,Series A,323,2013,False
Startup_0290,Fashion,Asia,Enterprise,Professional,Seed,480,2017,True
Startup_0291,Education,Europe,SMB,Luxury,Series B,19,2019,True
Startup_0292,Food & Beverage,Global,B2B,Innovative,Public,427,2021,False
Startup_0293,Healthcare,North America,B2B,Creative,Public,459,2011,False
Startup_0294,Healthcare,North America,B2B,Bold,Public,376,2010,False
Startup_0295,Real Estate,India,SMB,Bold,Series C,263,2021,False
Startup_0296,Food & Beverage,Global,D2C,Minimalist,Public,67,2024,True
Startup_0297,Finance,India,B2B,Bold,Series C,465,2015,False
Startup_0298,Sustainability,Global,D2C,Professional,Series C,70,2015,False
Startup_0299,Fashion,Europe,B2B,Minimalist,Series A,128,2010,False
Startup_0300,Education,Middle East,SMB,Trustworthy,Public,126,2012,False
Startup_0301,Real Estate,Global,B2B,Bold,Pre-seed,103,2019,False
Startup_0302,Healthcare,Asia,D2C,Minimalist,Pre-seed,215,2022,False
Startup_0303,Sustainability,Middle East,B2C,Bold,Series C,379,2021,False
Startup_0304,Education,Asia,D2C,Playful,Series B,151,2017,False
Startup_0305,Healthcare,Asia,B2C,Innovative,Seed,407,2023,True
Startup_0306,Healthcare,India,D2C,Trustworthy,Series B,66,2018,True
Startup_0307,Technology,India,B2B,Professional,Series A,229,2021,False
Startup_0308,Healthcare,Middle East,B2B,Professional,Pre-seed,434,2017,True
Startup_0309,Real Estate,Europe,D2C,Creative,Seed,78,2010,False
Startup_0310,Travel,Asia,B2B,Trustworthy,Series C,397,2020,True
Startup_0311,Technology,India,B2B,Minimalist,Series C,192,2022,False
Startup_0312,Retail,Europe,SMB,Playful,Series A,142,2013,True
Startup_0313,Sustainability,India,Enterprise,Minimalist,Series A,116,2024,True
Startup_0314,Real Estate,Asia,Enterprise,Minimalist,Public,124,2021,False
Startup_0315,Food & Beverage,North America,D2C,Luxury,Series A,241,2018,False
Startup_0316,Retail,India,Enterprise,Creative,Series A,447,2010,False
Startup_0317,Healthcare,Europe,B2C,Minimalist,Series C,60,2021,True
Startup_0318,Food & Beverage,Middle East,D2C,Bold,Series C,380,2023,False
Startup_0319,Retail,Middle East,D2C,Creative,Series A,396,2020,False
Startup_0320,Education,Asia,B2C,Luxury,Series C,115,2013,False
Startup_0321,Finance,Global,Enterprise,Luxury,Series A,83,2019,False
Startup_0322,Travel,North America,B2C,Trustworthy,Seed,215,2016,False
Startup_0323,Finance,India,B2B,Minimalist,Series A,258,2024,True
Startup_0324,Retail,Global,D2C,Luxury,Public,325,2023,False
Startup_0325,Fashion,India,SMB,Creative,Series A,10,2016,True
Startup_0326,Real Estate,North America,B2C,Professional,Seed,4,2016,False
Startup_0327,Retail,Asia,D2C,Innovative,Pre-seed,457,2019,True
Startup_0328,Fashion,Asia,D2C,Luxury,Series B,266,2013,False
Startup_0329,Food & Beverage,Europe,B2C,Luxury,Series A,339,2017,False
Startup_0330,Fashion,Europe,SMB,Trustworthy,Seed,326,2012,True
Startup_0331,Retail,Europe,D2C,Bold,Seed,279,2023,False
Startup_0332,Education,Asia,B2B,Professional,Series C,102,2018,False
Startup_0333,Retail,India,B2B,Luxury,Public,119,2015,True
Startup_0334,Real Estate,Middle East,B2B,Bold,Series A,454,2016,False
Startup_0335,Retail,Asia,SMB,Professional,Public,408,2018,False
Startup_0336,Education,North America,Enterprise,Creative,Seed,81,2013,True
Startup_0337,Travel,Middle East,B2B,Luxury,Public,134,2014,True
Startup_0338,Fashion,Asia,B2C,Minimalist,Pre-seed,486,2010,False
Startup_0339,Finance,Global,Enterprise,Luxury,Pre-seed,493,2019,False
Startup_0340,Real Estate,Asia,B2C,Innovative,Series B,40,2017,False
Startup_0341,Finance,Europe,SMB,Professional,Series C,4,2011,False
Startup_0342,Sustainability,India,B2B,Innovative,Public,27,2014,False
Startup_0343,Healthcare,Global,D2C,Luxury,Series C,265,2024,False
Startup_0344,Technology,India,B2B,Creative,Series C,470,2024,True
Startup_0345,Finance,Middle East,SMB,Innovative,Series A,53,2014,True
Startup_0346,Healthcare,Asia,B2B,Professional,Public,467,2024,False
Startup_0347,Education,Europe,B2B,Minimalist,Pre-seed,198,2024,False
Startup_0348,Food & Beverage,Global,B2B,Luxury,Series A,391,2019,True
Startup_0349,Real Estate,North America,SMB,Professional,Seed,383,2013,False
Startup_0350,Education,Asia,B2B,Trustworthy,Series B,156,2024,False
Startup_0351,Education,Europe,D2C,Innovative,Public,378,2013,True
Startup_0352,Fashion,North America,D2C,Creative,Series B,215,2021,True
Startup_0353,Technology,North America,Enterprise,Bold,Series A,407,2011,True
Startup_0354,Travel,Middle East,Enterprise,Innovative,Public,487,2022,True
Startup_0355,Healthcare,India,Enterprise,Luxury,Series B,57,2024,False
Startup_0356,Food & Beverage,India,Enterprise,Creative,Series A,487,2012,True
Startup_0357,Retail,Middle East,D2C,Innovative,Series C,44,2019,False
Startup_0358,Finance,Asia,Enterprise,Trustworthy,Seed,28,2011,False
Startup_0359,Food & Beverage,Global,B2C,Innovative,Series C,46,2010,False
Startup_0360,Sustainability,Europe,SMB,Innovative,Series B,303,2013,True
Startup_0361,Fashion,Global,SMB,Minimalist,Seed,370,2018,False
Startup_0362,Retail,Global,D2C,Bold,Pre-seed,34,2024,False
Startup_0363,Fashion,India,SMB,Creative,Series A,128,2023,True
Startup_0364,Real Estate,Global,SMB,Innovative,Seed,491,2015,False
Startup_0365,Technology,Middle East,B2B,Luxury,Public,96,2017,False
Startup_0366,Education,India,Enterprise,Professional,Series A,285,2024,True
Startup_0367,Fashion,India,Enterprise,Trustworthy,Seed,351,2011,False
Startup_0368,Food & Beverage,India,B2B,Playful,Series B,355,2023,True
Startup_0369,Travel,Asia,D2C,Innovative,Series C,110,2011,False
Startup_0370,Real Estate,Middle East,B2C,Bold,Public,82,2011,False
Startup_0371,Finance,India,D2C,Professional,Series B,180,2020,False
Startup_0372,Technology,India,B2C,Bold,Public,193,2017,False
Startup_0373,Travel,Middle East,B2C,Trustworthy,Public,36,2010,False
Startup_0374,Education,North America,B2B,Luxury,Pre-seed,421,2014,False
Startup_0375,Finance,Global,D2C,Minimalist,Public,263,2021,False
Startup_0376,Retail,Asia,Enterprise,Innovative,Series B,494,2013,False
Startup_0377,Sustainability,Asia,D2C,Minimalist,Seed,222,2020,True
Startup_0378,Food & Beverage,Global,D2C,Creative,Pre-seed,187,2010,False
Startup_0379,Travel,Europe,B2C,Innovative,Seed,129,2021,False
Startup_0380,Fashion,Europe,B2C,Innovative,Series C,408,2019,False
Startup_0381,Food & Beverage,Global,Enterprise,Bold,Public,271,2016,True
Startup_0382,Retail,North America,Enterprise,Creative,Series A,202,2010,False
Startup_0383,Sustainability,Europe,B2C,Playful,Series C,313,2015,True
Startup_0384,Education,India,D2C,Creative,Series C,80,2021,False
Startup_0385,Retail,India,B2C,Luxury,Public,231,2010,True
Startup_0386,Retail,Global,SMB,Professional,Series C,410,2020,False
Startup_0387,Fashion,Europe,SMB,Luxury,Seed,149,2022,True
